"","title","artist","year","id","lang"
"217","Play The Game Tonight","Kansas",1982,"1288139","en"
"218","Take Me Down","Alabama",1982,"614506","en"
"219","Always On My Mind","Willie Nelson",1982,"429135","en"
"220","Still They Ride","Journey",1982,"340738","en"
"221","What Kind Of Fool Am I","Rick Springfield",1982,"1599716","en"
"222","Personally","Karla Bonoff",1982,"996265","en"
"223","Forget Me Nots","Patrice Rushen",1982,"159257","en"
"224","Even The Nights Are Better","Air Supply",1982,"1103971","en"
"225","Wasted On The Way","Crosby and Stills and Nash",1982,"826919","en"
"226","Hard To Say I'm Sorry","Chicago",1982,"1094995","en"
"227","Going To A Go-Go","The Rolling Stones",1982,"974640","en"
"228","Early In The Morning","The Gap Band",1982,"1257311","en"
"229","Crimson And Clover","Joan Jett and The Blackhearts",1982,"7836237","en"
"230","The Other Woman","Ray Parker Jr.",1982,"1214046","en"
"231","Break It Up","Foreigner",1982,"343555","en"
"232","You Should Hear How She Talks About You","Melissa Manchester",1982,"527484","en"
"233","This Man Is Mine","Heart",1982,"1287539","en"
"234","Be Mine Tonight","Neil Diamond",1982,"227836","en"
"235","If The Love Fits Wear It","Leslie Pearl",1982,"2308731","en"
"236","Island Of Lost Souls","Blondie",1982,"192946","en"
"237","Dancing In The Street","Van Halen",1982,"152958","en"
"238","Out Of Work","Gary U.S. Bonds",1982,"871378","en"
"239","Angel In Blue","The J. Geils Band",1982,"836712","en"
"240","Kids In America","Kim Wilde",1982,"908359","en"
"241","Nice Girls","Eye To Eye",1982,"1320762","en"
"242","Love Plus One","Haircut One Hundred",1982,"1515288","en"
"243","I Found Somebody","Glenn Frey",1982,"963210","en"
"244","Paperlate","Genesis",1982,"1323315","en"
"245","Your Imagination","Daryl Hall John Oates",1982,"818321","en"
"246","American Music","The Pointer Sisters",1982,"1489188","en"
"247","Love Will Turn You Around","Kenny Rogers",1982,"1699029","en"
"248","If You Want My Love","Cheap Trick",1982,"222494","en"
"249","Route 101","Herb Alpert",1982,"2066569","en"
"250","Love Is In Control (Finger On The Trigger)","Donna Summer",1982,"735914","en"
"251","Landslide","Olivia Newton-John",1982,"744502","en"
"252","Think I'm In Love","Eddie Money",1982,"1427479","en"
"253","Vacation","Go-Go's",1982,"1674400","en"
"254","Take It Away","Paul McCartney",1982,"387602","en"
"255","Body Language","Queen",1982,"309833","en"
"256","After The Glitter Fades","Stevie Nicks",1982,"1606834","en"
"257","Street Corner","Ashford and Simpson",1982,"1753805","en"
"258","(Sittin' On) The Dock Of The Bay","The Reddings",1982,"4224400","en"
"259","Hope You Love Me Like You Say You Do","Huey Lewis and The News",1982,"1740749","en"
"260","Cutie Pie","One Way",1982,"210434","en"
"261","Making Love","Roberta Flack",1982,"1707492","en"
"262","I'll Find My Way Home","Jon and Vangelis",1982,"835870","en"
"263","To Dream The Dream","Frankie Miller",1982,"1868856","en"
"264","Hot In The City","Billy Idol",1982,"1636100","en"
"265","It's Gonna Take A Miracle","Deniece Williams",1982,"892707","en"
"266","Right Kind Of Love","Quarterflash",1982,"1491623","en"
"267","What Do All The People Know","The Monroes",1982,"988210","en"
"268","I Really Don't Need No Light","Jeffrey Osborne",1982,"718815","en"
"269","Happy Hour","Deodato",1982,"73346","en"
"270","And I Am Telling You I'm Not Going","Jennifer Holliday",1982,"1524151","en"
"271","Eye In The Sky","The Alan Parsons Project",1982,"350510","en"
"272","No One Like You","Scorpions",1982,"575033","en"
"273","Loveline","Dr. Hook",1982,"948975","en"
"274","Hooked On Big Bands","The Frank Barber Orch.",1982,"504292","en"
"275","I Want Candy","Bow Wow Wow",1982,"822506","en"
"276","Too Good To Turn Back Now","Rick Bowles",1982,"2644622","en"
"277","Dance Wit' Me - Part 1","Rick James",1982,"1825318","en"
"278","Words","Missing Persons",1982,"1551621","en"
"279","Enough Is Enough","April Wine",1982,"1221383","en"
"280","Someday, Someway","Marshall Crenshaw",1982,"1639112","en"
"281","Blue Eyes","Elton John",1982,"390457","en"
"282","Who Can It Be Now?","Men At Work",1982,"656955","en"
"283","Gloria","Laura Branigan",1982,"748588","en"
"284","Don't Talk To Strangers","Rick Springfield",1982,"1062298","en"
"285","I Ran (So Far Away)","A Flock Of Seagulls",1982,"108169","en"
"286","867-5309/jenny","Tommy Tutone",1982,"487416","en"
"287","I've Never Been To Me","Charlene",1982,"866099","en"
"288","Man On Your Mind","Little River Band",1982,"1016038","en"
"289","Mega Force","707",1982,"2169037","en"
"290","Without You (Not Another Lonely Night)","Franke and The Knockouts",1982,"2969597","en"
"291","Stone Cold","Rainbow",1982,"1684471","en"
"292","Empty Garden (Hey Hey Johnny)","Elton John",1982,"390458","en"
"293","Soup For One","Chic",1982,"1545526","en"
"294","When It's Over","Loverboy",1982,"1344118","en"
"295","Friends In Love","Dionne Warwick and Johnny Mathis",1982,"1280440","en"
"296","When He Shines","Sheena Easton",1982,"1256831","en"
"297","Fantasy","Aldo Nova",1982,"780391","en"
"298","Outlaw","War",1982,"1072446","en"
